customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Jeffrey Daniels,cheryl80@example.net,Svalbard & Jan Mayen Islands,2022-01-08,Basic,68390.43
2,Tara Garcia,josephpreston@example.net,Micronesia,2015-07-12,Standard,41799.84
3,Douglas Clark,james48@example.com,El Salvador,2022-07-12,Basic,70633.58
4,Sarah Davis,ccalderon@example.org,Grenada,2022-10-23,Standard,39453.61
5,Mandy Green,barnold@example.net,Algeria,2019-03-22,Standard,11404.02
6,Tony Vazquez,amydavenport@example.net,Micronesia,2017-09-14,Standard,40460.14
7,Cameron Parker,nolanjason@example.org,Papua New Guinea,2022-12-08,Basic,22730.05
8,Richard Henson,vdickson@example.org,Uzbekistan,2015-08-25,Premium,34861.13
9,Sharon Cherry,nicolejohnson@example.net,Uzbekistan,2021-04-01,Standard,72592.02
10,Timothy Pham,josephcobb@example.org,Hong Kong,2017-11-10,Standard,29284.32
11,Shannon Walker,ybailey@example.org,Czech Republic,2025-05-05,Standard,48591.26
12,Corey Murphy,rasmussenjoshua@example.net,Malawi,2021-01-02,Standard,27988.04
13,William Herrera,wilsontara@example.org,Mozambique,2018-01-04,Basic,14488.5
14,Deborah Rodriguez,yreed@example.com,Jordan,2015-06-11,Standard,45471.47
15,Kayla Cruz,jonathanfletcher@example.org,Mali,2023-07-17,Basic,14315.21
16,Kimberly Ball,michaeljones@example.net,Uruguay,2017-06-07,Standard,50440.93
17,Erik Charles,william65@example.com,Qatar,2018-09-25,Standard,65243.17
18,Cameron Fisher,lbyrd@example.net,Montenegro,2017-05-17,Standard,68197.31
19,Joshua Smith,jason99@example.net,Gibraltar,2016-04-25,Basic,72165.3
20,Jeremy Lewis,yleon@example.net,Chile,2025-04-03,Basic,56636.22
21,Diane Beck,clarence34@example.org,Sri Lanka,2017-04-17,Standard,45429.01
22,Alexander Sanchez,xcarr@example.org,Korea,2018-08-10,Standard,18139.99
23,Mark Lee,psnyder@example.org,Palau,2020-12-25,Basic,28704.47
24,Stephanie Dalton,osbornejeffery@example.net,Maldives,2019-01-13,Standard,23304.57
25,Justin Lowery,bryantlaurie@example.net,Marshall Islands,2016-02-08,Standard,37421.48
26,Linda Dodson DVM,jrivas@example.com,Ukraine,2023-07-17,Basic,54250.41
27,Scott Cole,maryramirez@example.net,Libyan Arab Jamahiriya,2019-02-27,Basic,68596.2
28,Denise Jones,jimmy55@example.net,Belgium,2024-09-09,Standard,3667.23
